신호 추적 로그 - BTC_USDT (Long)
생성 일시: 2026-05-05 02:10:33.376754
신호 조건: prob >= 0.35, TP=4.50%, SL=-1.50%, horizon=72 bars

총 신호 903건 | 적중률 48.95%

========================================================================================================================
date                | prob   | MFE%    | MAE%    | result | ret%    | bars | reason
2026-03-13 09:30:00 | 36.97% |  +2.659% |  -0.106% | WIN    |  +0.893% |   72 | 시간종료 양수
2026-03-13 09:45:00 | 37.11% |  +2.540% |  -0.003% | WIN    |  +0.235% |   72 | 시간종료 양수
2026-03-13 09:50:00 | 37.10% |  +2.511% |  -0.042% | LOSS   |  -0.042% |   72 | SL/음수 종료
2026-03-13 09:55:00 | 37.11% |  +2.516% |  -0.253% | LOSS   |  -0.253% |   72 | SL/음수 종료
2026-03-13 10:00:00 | 37.09% |  +2.265% |  -0.659% | LOSS   |  -0.659% |   72 | SL/음수 종료
2026-03-13 11:30:00 | 37.73% |  +2.117% |  -1.360% | LOSS   |  -0.911% |   72 | SL/음수 종료
2026-03-13 11:35:00 | 37.72% |  +2.126% |  -1.352% | LOSS   |  -1.141% |   72 | SL/음수 종료
2026-03-13 11:40:00 | 37.68% |  +2.081% |  -1.537% | LOSS   |  -1.537% |   72 | SL 선터치
2026-03-13 11:45:00 | 37.65% |  +2.172% |  -1.606% | LOSS   |  -1.606% |   72 | SL 선터치
2026-03-13 11:50:00 | 37.61% |  +2.121% |  -1.655% | LOSS   |  -1.655% |   71 | SL 선터치
2026-03-13 11:55:00 | 37.59% |  +2.193% |  -1.586% | LOSS   |  -1.586% |   70 | SL 선터치
2026-03-13 12:00:00 | 37.51% |  +1.969% |  -1.503% | LOSS   |  -1.503% |   52 | SL 선터치
2026-03-13 12:05:00 | 37.49% |  +1.957% |  -1.515% | LOSS   |  -1.515% |   51 | SL 선터치
2026-03-13 12:10:00 | 37.39% |  +1.930% |  -1.541% | LOSS   |  -1.541% |   50 | SL 선터치
2026-03-13 12:15:00 | 37.22% |  +2.009% |  -1.606% | LOSS   |  -1.606% |   65 | SL 선터치
2026-03-13 12:20:00 | 37.09% |  +1.908% |  -1.562% | LOSS   |  -1.562% |   48 | SL 선터치
2026-03-13 12:25:00 | 37.00% |  +1.941% |  -1.531% | LOSS   |  -1.531% |   47 | SL 선터치
2026-03-15 10:20:00 | 36.64% |  +0.030% |  -0.754% | LOSS   |  -0.617% |   72 | SL/음수 종료
2026-03-15 10:25:00 | 36.61% |  +0.003% |  -0.780% | LOSS   |  -0.639% |   72 | SL/음수 종료
2026-03-16 05:25:00 | 37.97% |  +0.398% |  -1.350% | LOSS   |  -0.479% |   72 | SL/음수 종료
2026-03-16 05:30:00 | 37.89% |  +0.570% |  -1.181% | LOSS   |  -0.252% |   72 | SL/음수 종료
2026-03-16 05:35:00 | 37.86% |  +0.361% |  -1.386% | LOSS   |  -0.436% |   72 | SL/음수 종료
2026-03-16 05:40:00 | 37.81% |  +0.218% |  -1.527% | LOSS   |  -1.527% |   36 | SL 선터치
2026-03-16 05:45:00 | 37.76% |  +0.186% |  -1.558% | LOSS   |  -1.558% |   35 | SL 선터치
2026-03-16 06:25:00 | 37.40% |  +0.212% |  -1.089% | WIN    |  +0.204% |   72 | 시간종료 양수
2026-03-16 06:30:00 | 37.38% |  +0.239% |  -1.104% | WIN    |  +0.239% |   72 | 시간종료 양수
2026-03-16 06:35:00 | 37.37% |  +0.113% |  -1.229% | LOSS   |  -0.020% |   72 | SL/음수 종료
2026-03-16 06:40:00 | 37.29% |  +0.106% |  -1.236% | LOSS   |  -0.032% |   72 | SL/음수 종료
2026-03-16 06:45:00 | 37.20% |  +0.129% |  -1.213% | LOSS   |  -0.043% |   72 | SL/음수 종료
2026-03-16 06:50:00 | 37.08% |  +0.136% |  -1.206% | LOSS   |  -0.022% |   72 | SL/음수 종료
2026-03-16 06:55:00 | 36.98% |  +0.258% |  -1.086% | WIN    |  +0.201% |   72 | 시간종료 양수
2026-03-16 07:00:00 | 36.89% |  +0.081% |  -1.293% | WIN    |  +0.081% |   72 | 시간종료 양수
2026-03-16 07:05:00 | 36.89% |  +0.076% |  -1.298% | LOSS   |  -0.012% |   72 | SL/음수 종료
2026-03-16 07:10:00 | 36.85% |  +0.141% |  -1.279% | WIN    |  +0.141% |   72 | 시간종료 양수
2026-03-16 07:15:00 | 36.78% |  +0.274% |  -1.148% | WIN    |  +0.047% |   72 | 시간종료 양수
2026-03-16 07:20:00 | 36.72% |  +0.346% |  -1.076% | WIN    |  +0.303% |   72 | 시간종료 양수
2026-03-16 07:25:00 | 36.64% |  +0.166% |  -1.254% | WIN    |  +0.080% |   72 | 시간종료 양수
2026-03-16 09:15:00 | 37.11% |  +1.572% |  -0.116% | WIN    |  +0.797% |   72 | 시간종료 양수
2026-03-16 09:20:00 | 37.13% |  +1.601% |  -0.087% | WIN    |  +0.920% |   72 | 시간종료 양수
2026-03-16 09:25:00 | 37.15% |  +1.463% |  -0.223% | WIN    |  +0.764% |   72 | 시간종료 양수
2026-03-16 09:30:00 | 37.14% |  +1.544% |  -0.143% | WIN    |  +0.673% |   72 | 시간종료 양수
2026-03-16 09:35:00 | 37.18% |  +1.573% |  -0.114% | WIN    |  +0.610% |   72 | 시간종료 양수
2026-03-16 09:40:00 | 37.16% |  +1.569% |  -0.119% | WIN    |  +0.476% |   72 | 시간종료 양수
2026-03-16 09:45:00 | 37.11% |  +1.435% |  -0.250% | WIN    |  +0.310% |   72 | 시간종료 양수
2026-03-16 09:50:00 | 37.05% |  +1.465% |  -0.221% | WIN    |  +0.145% |   72 | 시간종료 양수
2026-03-16 09:55:00 | 36.98% |  +1.489% |  -0.197% | WIN    |  +0.021% |   72 | 시간종료 양수
2026-03-16 10:00:00 | 36.88% |  +1.285% |  -0.398% | LOSS   |  -0.215% |   72 | SL/음수 종료
2026-03-16 12:00:00 | 36.96% |  +1.003% |  -0.675% | WIN    |  +0.489% |   72 | 시간종료 양수
2026-03-16 15:50:00 | 37.92% |  +1.554% |  -0.182% | WIN    |  +1.548% |   72 | 시간종료 양수
2026-03-17 02:40:00 | 37.64% |  +0.000% |  -1.640% | LOSS   |  -1.640% |   22 | SL 선터치
2026-03-17 02:45:00 | 37.61% |  +0.003% |  -1.623% | LOSS   |  -1.623% |   22 | SL 선터치
2026-03-17 02:50:00 | 37.56% |  +0.002% |  -1.624% | LOSS   |  -1.624% |   21 | SL 선터치
2026-03-17 02:55:00 | 37.51% |  +0.113% |  -1.516% | LOSS   |  -1.516% |   20 | SL 선터치
2026-03-17 03:00:00 | 37.47% |  +0.000% |  -1.626% | LOSS   |  -1.626% |   19 | SL 선터치
2026-03-17 05:20:00 | 37.06% |  +0.132% |  -0.895% | LOSS   |  -0.473% |   72 | SL/음수 종료
2026-03-17 10:40:00 | 36.89% |  +1.262% |  -0.276% | WIN    |  +0.529% |   72 | 시간종료 양수
2026-03-17 10:45:00 | 36.93% |  +1.341% |  -0.198% | WIN    |  +0.601% |   72 | 시간종료 양수
2026-03-17 10:50:00 | 36.94% |  +1.325% |  -0.213% | WIN    |  +0.685% |   72 | 시간종료 양수
2026-03-17 10:55:00 | 36.95% |  +1.273% |  -0.265% | WIN    |  +0.572% |   72 | 시간종료 양수
2026-03-17 11:00:00 | 36.96% |  +1.189% |  -0.348% | WIN    |  +0.569% |   72 | 시간종료 양수
2026-03-17 11:05:00 | 36.99% |  +1.013% |  -0.521% | WIN    |  +0.366% |   72 | 시간종료 양수
2026-03-17 11:10:00 | 37.08% |  +1.006% |  -0.528% | WIN    |  +0.370% |   72 | 시간종료 양수
2026-03-17 11:15:00 | 37.08% |  +0.899% |  -0.633% | WIN    |  +0.355% |   72 | 시간종료 양수
2026-03-18 13:15:00 | 38.25% |  +0.244% |  -1.602% | LOSS   |  -1.602% |   20 | SL 선터치
2026-03-18 13:20:00 | 38.19% |  +0.000% |  -1.587% | LOSS   |  -1.587% |   18 | SL 선터치
2026-03-18 13:25:00 | 38.15% |  +0.000% |  -1.529% | LOSS   |  -1.529% |   17 | SL 선터치
2026-03-18 13:30:00 | 38.04% |  +0.255% |  -1.514% | LOSS   |  -1.514% |   17 | SL 선터치
2026-03-18 13:35:00 | 38.02% |  +0.000% |  -1.510% | LOSS   |  -1.510% |   15 | SL 선터치
2026-03-18 13:40:00 | 38.01% |  +0.000% |  -1.578% | LOSS   |  -1.578% |   15 | SL 선터치
2026-03-19 08:15:00 | 37.53% |  +0.546% |  -1.500% | LOSS   |  -1.500% |   59 | SL 선터치
2026-03-19 08:20:00 | 37.56% |  +0.481% |  -1.563% | LOSS   |  -1.563% |   58 | SL 선터치
2026-03-19 08:25:00 | 37.57% |  +0.668% |  -1.380% | LOSS   |  -1.295% |   72 | SL/음수 종료
2026-03-19 08:30:00 | 37.59% |  +0.687% |  -1.361% | LOSS   |  -1.033% |   72 | SL/음수 종료
2026-03-19 08:35:00 | 37.63% |  +0.904% |  -1.148% | LOSS   |  -1.062% |   72 | SL/음수 종료
2026-03-19 08:40:00 | 37.63% |  +0.732% |  -1.318% | LOSS   |  -1.053% |   72 | SL/음수 종료
2026-03-19 08:45:00 | 37.61% |  +0.595% |  -1.452% | LOSS   |  -1.136% |   72 | SL/음수 종료
2026-03-19 08:50:00 | 37.55% |  +0.772% |  -1.278% | LOSS   |  -0.714% |   72 | SL/음수 종료
2026-03-19 08:55:00 | 37.48% |  +0.772% |  -1.278% | LOSS   |  -0.724% |   72 | SL/음수 종료
2026-03-19 09:00:00 | 37.40% |  +0.625% |  -1.422% | LOSS   |  -0.460% |   72 | SL/음수 종료
2026-03-19 09:05:00 | 37.35% |  +0.611% |  -1.436% | LOSS   |  -0.559% |   72 | SL/음수 종료
2026-03-19 09:10:00 | 37.27% |  +0.702% |  -1.347% | LOSS   |  -0.489% |   72 | SL/음수 종료
2026-03-19 09:15:00 | 37.19% |  +0.593% |  -1.454% | LOSS   |  -1.052% |   72 | SL/음수 종료
2026-03-19 09:20:00 | 37.08% |  +0.366% |  -1.676% | LOSS   |  -1.676% |   46 | SL 선터치
2026-03-19 09:25:00 | 37.07% |  +0.395% |  -1.647% | LOSS   |  -1.647% |   45 | SL 선터치
2026-03-19 09:30:00 | 37.01% |  +0.484% |  -1.560% | LOSS   |  -1.560% |   44 | SL 선터치
2026-03-19 09:35:00 | 36.93% |  +0.272% |  -1.768% | LOSS   |  -1.768% |   43 | SL 선터치
2026-03-19 09:40:00 | 36.80% |  +0.119% |  -1.619% | LOSS   |  -1.619% |   38 | SL 선터치
2026-03-19 11:00:00 | 37.18% |  +0.063% |  -1.508% | LOSS   |  -1.508% |   26 | SL 선터치
2026-03-19 11:05:00 | 37.19% |  +0.105% |  -1.748% | LOSS   |  -1.748% |   55 | SL 선터치
2026-03-19 11:10:00 | 37.22% |  +0.091% |  -1.761% | LOSS   |  -1.761% |   54 | SL 선터치
2026-03-19 11:15:00 | 37.21% |  +0.032% |  -1.538% | LOSS   |  -1.538% |   23 | SL 선터치
2026-03-19 11:20:00 | 37.16% |  +0.000% |  -1.569% | LOSS   |  -1.569% |   22 | SL 선터치
2026-03-19 11:25:00 | 37.10% |  +0.000% |  -1.567% | LOSS   |  -1.567% |   21 | SL 선터치
2026-03-19 11:30:00 | 37.05% |  +0.000% |  -1.762% | LOSS   |  -1.762% |   50 | SL 선터치
2026-03-19 11:35:00 | 37.03% |  +0.074% |  -1.607% | LOSS   |  -1.607% |   49 | SL 선터치
2026-03-19 11:40:00 | 37.05% |  +0.071% |  -1.609% | LOSS   |  -1.609% |   48 | SL 선터치
2026-03-23 09:25:00 | 38.41% |  +4.507% |  -0.327% | WIN    |  +4.507% |   53 | TP 선터치
2026-03-23 09:30:00 | 38.39% |  +4.711% |  +0.000% | WIN    |  +4.711% |   19 | TP 선터치
2026-03-23 09:35:00 | 38.36% |  +4.585% |  +0.000% | WIN    |  +4.585% |   18 | TP 선터치
2026-03-23 09:55:00 | 38.23% |  +4.606% |  -0.011% | WIN    |  +4.606% |   48 | TP 선터치
2026-03-23 10:00:00 | 38.18% |  +4.547% |  -0.163% | WIN    |  +4.547% |   48 | TP 선터치
2026-03-24 09:15:00 | 37.98% |  +0.416% |  -1.646% | LOSS   |  -1.646% |   59 | SL 선터치
2026-03-24 09:25:00 | 37.91% |  +0.444% |  -1.619% | LOSS   |  -1.619% |   57 | SL 선터치
2026-03-24 09:30:00 | 37.85% |  +0.439% |  -1.623% | LOSS   |  -1.623% |   56 | SL 선터치
2026-03-25 13:30:00 | 37.64% |  +0.101% |  -1.486% | LOSS   |  -1.158% |   72 | SL/음수 종료
2026-03-26 06:50:00 | 37.02% |  +0.076% |  -1.183% | LOSS   |  -0.982% |   72 | SL/음수 종료
2026-03-26 06:55:00 | 37.03% |  +0.095% |  -1.163% | LOSS   |  -0.937% |   72 | SL/음수 종료
2026-03-26 07:00:00 | 37.04% |  +0.018% |  -1.240% | LOSS   |  -0.984% |   72 | SL/음수 종료
2026-03-26 07:05:00 | 37.04% |  +0.088% |  -1.170% | LOSS   |  -0.844% |   72 | SL/음수 종료
2026-03-26 07:10:00 | 37.05% |  +0.162% |  -1.097% | LOSS   |  -0.798% |   72 | SL/음수 종료
2026-03-26 10:15:00 | 36.73% |  +0.195% |  -1.115% | LOSS   |  -0.882% |   72 | SL/음수 종료
2026-03-26 10:20:00 | 36.81% |  +0.160% |  -1.150% | LOSS   |  -0.930% |   72 | SL/음수 종료
2026-03-26 10:25:00 | 36.82% |  +0.199% |  -1.111% | LOSS   |  -1.105% |   72 | SL/음수 종료
2026-03-26 10:30:00 | 36.81% |  +0.254% |  -1.056% | LOSS   |  -0.933% |   72 | SL/음수 종료
2026-03-26 10:35:00 | 36.83% |  +0.374% |  -0.977% | LOSS   |  -0.977% |   72 | SL/음수 종료
2026-03-26 10:40:00 | 36.87% |  +0.362% |  -0.989% | LOSS   |  -0.899% |   72 | SL/음수 종료
2026-03-26 10:45:00 | 36.91% |  +0.348% |  -1.003% | LOSS   |  -0.926% |   72 | SL/음수 종료
2026-03-26 10:50:00 | 36.95% |  +0.423% |  -0.929% | LOSS   |  -0.767% |   72 | SL/음수 종료
2026-03-26 10:55:00 | 36.96% |  +0.395% |  -0.956% | LOSS   |  -0.848% |   72 | SL/음수 종료
2026-03-26 11:00:00 | 36.99% |  +0.235% |  -1.114% | LOSS   |  -0.896% |   72 | SL/음수 종료
2026-03-26 11:05:00 | 37.01% |  +0.243% |  -1.106% | LOSS   |  -0.890% |   72 | SL/음수 종료
2026-03-26 11:10:00 | 36.95% |  +0.332% |  -1.019% | LOSS   |  -0.931% |   72 | SL/음수 종료
2026-03-27 10:20:00 | 38.21% |  +0.046% |  -1.613% | LOSS   |  -1.613% |    6 | SL 선터치
2026-03-27 10:25:00 | 38.14% |  +0.000% |  -1.658% | LOSS   |  -1.658% |    5 | SL 선터치
2026-03-27 10:30:00 | 38.06% |  +0.000% |  -1.552% | LOSS   |  -1.552% |    4 | SL 선터치
2026-03-27 10:35:00 | 37.96% |  +0.000% |  -1.606% | LOSS   |  -1.606% |   45 | SL 선터치
2026-03-27 12:35:00 | 38.47% |  +0.131% |  -1.509% | LOSS   |  -1.509% |   69 | SL 선터치
2026-03-27 12:55:00 | 38.18% |  +0.117% |  -1.522% | LOSS   |  -1.522% |   65 | SL 선터치
2026-03-27 13:00:00 | 38.10% |  +0.036% |  -1.566% | LOSS   |  -1.566% |   56 | SL 선터치
2026-03-30 09:50:00 | 38.04% |  +0.749% |  -0.594% | WIN    |  +0.300% |   72 | 시간종료 양수
2026-03-30 09:55:00 | 37.97% |  +0.804% |  -0.540% | WIN    |  +0.196% |   72 | 시간종료 양수
2026-03-30 10:00:00 | 37.91% |  +0.844% |  -0.501% | LOSS   |  -0.065% |   72 | SL/음수 종료
2026-03-30 10:45:00 | 37.55% |  +0.846% |  -0.499% | LOSS   |  -0.179% |   72 | SL/음수 종료
2026-03-30 16:40:00 | 37.89% |  +0.000% |  -1.684% | LOSS   |  -1.684% |   32 | SL 선터치
2026-03-30 16:45:00 | 37.86% |  +0.033% |  -1.647% | LOSS   |  -1.647% |   31 | SL 선터치
2026-03-30 16:50:00 | 37.82% |  +0.172% |  -1.510% | LOSS   |  -1.510% |   30 | SL 선터치
2026-03-30 16:55:00 | 37.81% |  +0.000% |  -1.680% | LOSS   |  -1.680% |   29 | SL 선터치
2026-03-31 18:40:00 | 38.34% |  +0.814% |  -0.078% | WIN    |  +0.355% |   72 | 시간종료 양수
2026-03-31 18:45:00 | 38.30% |  +0.761% |  -0.130% | WIN    |  +0.379% |   72 | 시간종료 양수
2026-03-31 18:50:00 | 38.25% |  +0.851% |  -0.041% | WIN    |  +0.728% |   72 | 시간종료 양수
2026-03-31 18:55:00 | 38.18% |  +0.775% |  -0.116% | WIN    |  +0.706% |   72 | 시간종료 양수
2026-03-31 19:00:00 | 38.11% |  +0.663% |  -0.228% | WIN    |  +0.580% |   72 | 시간종료 양수
2026-04-01 09:30:00 | 37.94% |  +0.378% |  -0.791% | WIN    |  +0.287% |   72 | 시간종료 양수
2026-04-01 09:35:00 | 37.89% |  +0.525% |  -0.645% | WIN    |  +0.403% |   72 | 시간종료 양수
2026-04-01 09:40:00 | 37.84% |  +0.482% |  -0.687% | WIN    |  +0.407% |   72 | 시간종료 양수
2026-04-01 09:45:00 | 37.80% |  +0.306% |  -0.862% | WIN    |  +0.267% |   72 | 시간종료 양수
2026-04-01 09:50:00 | 37.75% |  +0.341% |  -0.943% | WIN    |  +0.341% |   72 | 시간종료 양수
2026-04-01 09:55:00 | 37.70% |  +0.387% |  -0.928% | WIN    |  +0.387% |   72 | 시간종료 양수
2026-04-02 16:15:00 | 38.17% |  +0.705% |  -0.375% | WIN    |  +0.136% |   72 | 시간종료 양수
2026-04-02 16:20:00 | 38.09% |  +0.809% |  -0.272% | WIN    |  +0.130% |   72 | 시간종료 양수
2026-04-05 17:00:00 | 37.82% |  +1.671% |  -0.001% | WIN    |  +1.664% |   72 | 시간종료 양수
2026-04-05 17:05:00 | 37.79% |  +1.709% |  -0.097% | WIN    |  +1.709% |   72 | 시간종료 양수
2026-04-05 17:10:00 | 37.72% |  +1.961% |  -0.105% | WIN    |  +1.961% |   72 | 시간종료 양수
2026-04-05 17:15:00 | 37.61% |  +2.484% |  +0.000% | WIN    |  +2.484% |   72 | 시간종료 양수
2026-04-05 17:20:00 | 37.48% |  +2.434% |  +0.000% | WIN    |  +2.243% |   72 | 시간종료 양수
2026-04-05 17:25:00 | 37.33% |  +2.296% |  -0.083% | WIN    |  +2.178% |   72 | 시간종료 양수
2026-04-06 10:10:00 | 37.89% |  +0.363% |  -0.893% | WIN    |  +0.363% |   72 | 시간종료 양수
2026-04-06 10:15:00 | 37.94% |  +0.409% |  -0.847% | WIN    |  +0.305% |   72 | 시간종료 양수
2026-04-06 10:20:00 | 37.99% |  +0.347% |  -0.909% | WIN    |  +0.260% |   72 | 시간종료 양수
2026-04-06 10:25:00 | 38.02% |  +0.443% |  -0.814% | WIN    |  +0.204% |   72 | 시간종료 양수
2026-04-06 10:30:00 | 38.05% |  +0.359% |  -0.897% | WIN    |  +0.267% |   72 | 시간종료 양수
2026-04-06 10:35:00 | 38.08% |  +0.243% |  -1.012% | WIN    |  +0.150% |   72 | 시간종료 양수
2026-04-06 10:40:00 | 38.12% |  +0.340% |  -0.988% | WIN    |  +0.340% |   72 | 시간종료 양수
2026-04-06 10:45:00 | 38.08% |  +0.612% |  -0.868% | WIN    |  +0.612% |   72 | 시간종료 양수
2026-04-06 10:50:00 | 38.06% |  +0.700% |  -0.780% | WIN    |  +0.410% |   72 | 시간종료 양수
2026-04-06 10:55:00 | 37.95% |  +0.658% |  -0.822% | WIN    |  +0.042% |   72 | 시간종료 양수
2026-04-06 11:00:00 | 37.84% |  +0.762% |  -0.719% | LOSS   |  -0.154% |   72 | SL/음수 종료
2026-04-06 11:05:00 | 37.74% |  +0.677% |  -0.804% | LOSS   |  -0.162% |   72 | SL/음수 종료
2026-04-06 11:10:00 | 37.64% |  +0.793% |  -0.689% | LOSS   |  -0.483% |   72 | SL/음수 종료
2026-04-06 11:15:00 | 37.53% |  +0.756% |  -0.725% | LOSS   |  -0.497% |   72 | SL/음수 종료
2026-04-06 11:20:00 | 37.41% |  +0.858% |  -0.625% | LOSS   |  -0.217% |   72 | SL/음수 종료
2026-04-06 11:25:00 | 37.35% |  +0.869% |  -0.614% | LOSS   |  -0.128% |   72 | SL/음수 종료
2026-04-06 11:30:00 | 37.25% |  +0.772% |  -0.710% | LOSS   |  -0.237% |   72 | SL/음수 종료
2026-04-06 11:35:00 | 37.17% |  +0.812% |  -0.670% | LOSS   |  -0.204% |   72 | SL/음수 종료
2026-04-06 11:40:00 | 37.07% |  +0.832% |  -0.651% | LOSS   |  -0.264% |   72 | SL/음수 종료
2026-04-06 11:45:00 | 36.96% |  +0.839% |  -0.644% | LOSS   |  -0.178% |   72 | SL/음수 종료
2026-04-06 11:50:00 | 36.88% |  +0.841% |  -0.642% | LOSS   |  -0.141% |   72 | SL/음수 종료
2026-04-06 11:55:00 | 36.79% |  +0.882% |  -0.601% | LOSS   |  -0.058% |   72 | SL/음수 종료
2026-04-06 12:00:00 | 36.71% |  +0.936% |  -0.548% | LOSS   |  -0.106% |   72 | SL/음수 종료
2026-04-06 12:05:00 | 36.70% |  +1.033% |  -0.453% | WIN    |  +0.033% |   72 | 시간종료 양수
2026-04-07 11:25:00 | 37.67% |  +0.368% |  -0.762% | WIN    |  +0.060% |   72 | 시간종료 양수
2026-04-07 11:30:00 | 37.73% |  +0.442% |  -0.690% | WIN    |  +0.250% |   72 | 시간종료 양수
2026-04-07 11:35:00 | 37.76% |  +0.404% |  -0.862% | WIN    |  +0.404% |   72 | 시간종료 양수
2026-04-07 11:40:00 | 37.79% |  +0.453% |  -0.814% | WIN    |  +0.421% |   72 | 시간종료 양수
2026-04-07 11:45:00 | 37.79% |  +0.456% |  -0.841% | WIN    |  +0.456% |   72 | 시간종료 양수
2026-04-07 11:50:00 | 37.77% |  +0.617% |  -0.712% | WIN    |  +0.617% |   72 | 시간종료 양수
2026-04-07 11:55:00 | 37.73% |  +0.614% |  -0.715% | WIN    |  +0.528% |   72 | 시간종료 양수
2026-04-07 12:00:00 | 37.67% |  +0.541% |  -0.787% | WIN    |  +0.412% |   72 | 시간종료 양수
2026-04-07 12:05:00 | 37.61% |  +0.873% |  -0.460% | WIN    |  +0.691% |   72 | 시간종료 양수
2026-04-07 12:10:00 | 37.72% |  +0.718% |  -0.612% | WIN    |  +0.551% |   72 | 시간종료 양수
2026-04-08 01:15:00 | 37.80% |  +0.499% |  -0.349% | WIN    |  +0.369% |   72 | 시간종료 양수
2026-04-08 01:20:00 | 37.71% |  +0.499% |  -0.349% | WIN    |  +0.494% |   72 | 시간종료 양수
2026-04-08 01:25:00 | 37.62% |  +0.566% |  -0.283% | WIN    |  +0.472% |   72 | 시간종료 양수
2026-04-08 01:30:00 | 37.54% |  +0.527% |  -0.321% | WIN    |  +0.210% |   72 | 시간종료 양수
2026-04-08 01:35:00 | 37.48% |  +0.478% |  -0.370% | WIN    |  +0.178% |   72 | 시간종료 양수
2026-04-08 01:40:00 | 37.40% |  +0.567% |  -0.281% | WIN    |  +0.236% |   72 | 시간종료 양수
2026-04-08 01:45:00 | 37.32% |  +0.549% |  -0.299% | WIN    |  +0.130% |   72 | 시간종료 양수
2026-04-08 01:50:00 | 37.24% |  +0.526% |  -0.323% | WIN    |  +0.134% |   72 | 시간종료 양수
2026-04-08 15:35:00 | 38.06% |  +0.931% |  -0.203% | WIN    |  +0.578% |   72 | 시간종료 양수
2026-04-08 15:40:00 | 37.98% |  +0.995% |  -0.139% | WIN    |  +0.503% |   72 | 시간종료 양수
2026-04-08 15:45:00 | 37.86% |  +0.888% |  -0.245% | WIN    |  +0.452% |   72 | 시간종료 양수
2026-04-08 15:50:00 | 37.74% |  +0.857% |  -0.276% | WIN    |  +0.406% |   72 | 시간종료 양수
2026-04-08 15:55:00 | 37.62% |  +0.835% |  -0.297% | WIN    |  +0.344% |   72 | 시간종료 양수
2026-04-08 16:00:00 | 37.47% |  +0.761% |  -0.371% | WIN    |  +0.110% |   72 | 시간종료 양수
2026-04-09 11:05:00 | 36.62% |  +1.684% |  -0.920% | WIN    |  +1.663% |   72 | 시간종료 양수
2026-04-09 11:10:00 | 36.64% |  +1.795% |  -0.823% | WIN    |  +1.795% |   72 | 시간종료 양수
2026-04-09 11:15:00 | 36.68% |  +1.774% |  -0.844% | WIN    |  +1.698% |   72 | 시간종료 양수
2026-04-09 11:20:00 | 36.71% |  +1.819% |  -0.799% | WIN    |  +1.665% |   72 | 시간종료 양수
2026-04-12 03:30:00 | 37.62% |  +0.104% |  -0.274% | LOSS   |  -0.051% |   72 | SL/음수 종료
2026-04-12 03:35:00 | 37.53% |  +0.101% |  -0.277% | LOSS   |  -0.056% |   72 | SL/음수 종료
2026-04-12 03:40:00 | 37.41% |  +0.095% |  -0.283% | LOSS   |  -0.138% |   72 | SL/음수 종료
2026-04-12 03:45:00 | 37.26% |  +0.118% |  -0.260% | LOSS   |  -0.181% |   72 | SL/음수 종료
2026-04-12 03:50:00 | 37.12% |  +0.112% |  -0.266% | LOSS   |  -0.167% |   72 | SL/음수 종료
2026-04-13 16:00:00 | 37.85% |  +2.283% |  +0.000% | WIN    |  +2.080% |   72 | 시간종료 양수
2026-04-13 16:05:00 | 37.77% |  +2.027% |  +0.000% | WIN    |  +1.864% |   72 | 시간종료 양수
2026-04-14 15:50:00 | 38.08% |  +0.296% |  -1.662% | LOSS   |  -1.662% |   33 | SL 선터치
2026-04-14 15:55:00 | 38.04% |  +0.444% |  -1.518% | LOSS   |  -1.518% |   32 | SL 선터치
2026-04-15 09:40:00 | 36.82% |  +0.645% |  -0.426% | LOSS   |  -0.161% |   72 | SL/음수 종료
2026-04-15 09:45:00 | 36.87% |  +0.667% |  -0.404% | LOSS   |  -0.057% |   72 | SL/음수 종료
2026-04-15 09:50:00 | 36.88% |  +0.633% |  -0.437% | LOSS   |  -0.191% |   72 | SL/음수 종료
2026-04-15 09:55:00 | 36.85% |  +0.585% |  -0.484% | LOSS   |  -0.237% |   72 | SL/음수 종료
2026-04-15 10:00:00 | 36.80% |  +0.589% |  -0.481% | LOSS   |  -0.083% |   72 | SL/음수 종료
2026-04-15 10:05:00 | 36.79% |  +0.426% |  -0.642% | LOSS   |  -0.210% |   72 | SL/음수 종료
2026-04-15 10:10:00 | 36.80% |  +0.447% |  -0.621% | LOSS   |  -0.141% |   72 | SL/음수 종료
2026-04-17 10:05:00 | 38.00% |  +2.991% |  -0.720% | WIN    |  +2.829% |   72 | 시간종료 양수
2026-04-17 10:10:00 | 38.02% |  +3.131% |  -0.585% | WIN    |  +2.965% |   72 | 시간종료 양수
2026-04-17 10:15:00 | 38.03% |  +3.070% |  -0.644% | WIN    |  +3.039% |   72 | 시간종료 양수
2026-04-17 10:20:00 | 38.02% |  +3.247% |  -0.689% | WIN    |  +3.247% |   72 | 시간종료 양수
2026-04-17 10:25:00 | 37.99% |  +3.909% |  -0.057% | WIN    |  +3.909% |   72 | 시간종료 양수
2026-04-17 10:30:00 | 38.07% |  +3.827% |  -0.136% | WIN    |  +3.754% |   72 | 시간종료 양수
2026-04-17 10:35:00 | 38.07% |  +3.945% |  -0.026% | WIN    |  +3.945% |   72 | 시간종료 양수
2026-04-17 10:40:00 | 38.02% |  +3.972% |  +0.000% | WIN    |  +3.865% |   72 | 시간종료 양수
2026-04-17 10:45:00 | 37.98% |  +3.870% |  +0.000% | WIN    |  +3.569% |   72 | 시간종료 양수
2026-04-17 10:50:00 | 37.93% |  +3.834% |  -0.011% | WIN    |  +3.403% |   72 | 시간종료 양수
