RL Commander Backtest Detailed Report
================================================================================
Model Path      : /Users/hwanghoyeon/Documents/crypto_bot/v2/models/rl_commander/runs/m003/best_model.zip
Initial Balance : 10000.00
Final Balance   : 375.31
Total Return(%) : -96.25
Test Period     : 2023-05-06 14:35:00 ~ 2026-05-04 13:05:00
Total Trades    : 2389
Long Trades     : 748
Short Trades    : 1641
Win Rate(%)     : 49.23

Column Guide
--------------------------------------------------------------------------------
entry_time     : 포지션 진입 시각 (전체 데이터 기간 datetime 기준)
exit_time      : 포지션 청산 시각
entry_step     : 전체 데이터 내 진입 인덱스(5분봉 기준 step)
exit_step      : 전체 데이터 내 청산 인덱스
hold           : 보유한 step 수 (1 step = 5분)
entry_px       : 진입 가격
exit_px        : 청산 가격
gross%         : 수수료 제외 수익률(%)
net%           : 수수료 포함 순수익률(%)
exit_type      : 청산 유형 (manual=모델 청산, forced=에피소드 종료 강제청산)

Trade Logs
--------------------------------------------------------------------------------
   # |  side |          entry_time |           exit_time | entry_step | exit_step | hold |     entry_px |      exit_px |   gross% |     net% |  exit_type
---------------------------------------------------------------------------------------------------------------------------------------------------------
   1 |  LONG | 2023-05-06 20:10:00 | 2023-05-07 10:10:00 |         67 |       235 |  168 |   28823.9805 |   28808.6191 |   -0.053 |   -0.153 |     manual
   2 |  LONG | 2023-05-07 10:15:00 | 2023-05-07 19:00:00 |        236 |       341 |  105 |   28823.5098 |   28877.1504 |    0.186 |    0.086 |     manual
   3 |  LONG | 2023-05-07 21:00:00 | 2023-05-07 23:55:00 |        365 |       400 |   35 |   28884.8496 |   28434.0391 |   -1.561 |   -1.661 |     manual
   4 | SHORT | 2023-05-08 00:00:00 | 2023-05-08 02:05:00 |        401 |       426 |   25 |   28464.1602 |   28240.8496 |    0.785 |    0.685 |     manual
   5 | SHORT | 2023-05-08 02:10:00 | 2023-05-08 07:50:00 |        427 |       495 |   68 |   28260.8203 |   27953.4297 |    1.088 |    0.988 |     manual
   6 | SHORT | 2023-05-08 08:35:00 | 2023-05-08 14:15:00 |        504 |       572 |   68 |   27894.5098 |   27792.2891 |    0.366 |    0.266 |     manual
   7 | SHORT | 2023-05-08 14:20:00 | 2023-05-08 18:05:00 |        573 |       618 |   45 |   27828.6699 |   27387.6406 |    1.585 |    1.485 |     manual
   8 | SHORT | 2023-05-08 18:10:00 | 2023-05-09 14:35:00 |        619 |       864 |  245 |   27456.0098 |   27505.5801 |   -0.181 |   -0.281 |     manual
   9 | SHORT | 2023-05-09 14:45:00 | 2023-05-09 15:50:00 |        866 |       879 |   13 |   27583.3594 |   27426.4102 |    0.569 |    0.469 |     manual
  10 | SHORT | 2023-05-09 15:55:00 | 2023-05-10 06:10:00 |        880 |      1051 |  171 |   27400.7793 |   27611.6895 |   -0.770 |   -0.870 |     manual
