RL Commander Backtest Detailed Report
================================================================================
Model Path      : /Users/hwanghoyeon/Documents/crypto_bot/v2/models/rl_commander/runs/m009/best_model.zip
Initial Balance : 10000.00
Final Balance   : 3343.83
Total Return(%) : -66.56
Test Period     : 2023-05-06 14:35:00 ~ 2026-05-04 13:05:00
Total Trades    : 967
Long Trades     : 234
Short Trades    : 733
Win Rate(%)     : 54.40

Column Guide
--------------------------------------------------------------------------------
entry_time     : 포지션 진입 시각 (전체 데이터 기간 datetime 기준)
exit_time      : 포지션 청산 시각
entry_step     : 전체 데이터 내 진입 인덱스(5분봉 기준 step)
exit_step      : 전체 데이터 내 청산 인덱스
hold           : 보유한 step 수 (1 step = 5분)
entry_px       : 진입 가격
exit_px        : 청산 가격
gross%         : 수수료 제외 수익률(%)
net%           : 수수료 포함 순수익률(%)
exit_type      : 청산 유형 (manual=모델 청산, forced=에피소드 종료 강제청산)

Trade Logs
--------------------------------------------------------------------------------
   # |  side |          entry_time |           exit_time | entry_step | exit_step | hold |     entry_px |      exit_px |   gross% |     net% |  exit_type
---------------------------------------------------------------------------------------------------------------------------------------------------------
   1 | SHORT | 2023-05-06 17:35:00 | 2023-05-08 12:00:00 |         36 |       545 |  509 |   28757.0195 |   27919.2305 |    2.913 |    2.813 |     manual
   2 |  LONG | 2023-05-08 19:05:00 | 2023-05-09 12:10:00 |        630 |       835 |  205 |   27380.0000 |   27754.3008 |    1.367 |    1.267 |     manual
   3 | SHORT | 2023-05-09 17:00:00 | 2023-05-09 18:55:00 |        893 |       916 |   23 |   27645.1406 |   27554.6094 |    0.327 |    0.227 |     manual
   4 |  LONG | 2023-05-09 19:00:00 | 2023-05-11 14:10:00 |        917 |      1435 |  518 |   27570.2207 |   27306.4902 |   -0.957 |   -1.057 |     manual
   5 | SHORT | 2023-05-11 16:05:00 | 2023-05-11 17:00:00 |       1458 |      1469 |   11 |   27195.7500 |   27093.5703 |    0.376 |    0.276 |     manual
   6 | SHORT | 2023-05-11 18:00:00 | 2023-05-12 15:00:00 |       1481 |      1733 |  252 |   26877.2109 |   26358.3496 |    1.930 |    1.830 |     manual
   7 | SHORT | 2023-05-12 16:45:00 | 2023-05-15 14:30:00 |       1754 |      2591 |  837 |   26315.9102 |   27327.5000 |   -3.844 |   -3.944 |     manual
   8 |  LONG | 2023-05-15 19:00:00 | 2023-05-16 13:55:00 |       2645 |      2872 |  227 |   27411.8906 |   26984.5605 |   -1.559 |   -1.659 |     manual
   9 |  LONG | 2023-05-16 17:00:00 | 2023-05-18 12:30:00 |       2909 |      3431 |  522 |   27051.8906 |   27324.6309 |    1.008 |    0.908 |     manual
  10 | SHORT | 2023-05-18 12:35:00 | 2023-05-18 16:10:00 |       3432 |      3475 |   43 |   27296.1191 |   27059.1699 |    0.868 |    0.768 |     manual
  11 | SHORT | 2023-05-18 16:50:00 | 2023-05-18 17:25:00 |       3483 |      3490 |    7 |   27085.4902 |   27029.4297 |    0.207 |    0.107 |     manual
  12 | SHORT | 2023-05-18 18:25:00 | 2023-05-22 14:25:00 |       3502 |      4606 | 1104 |   26610.0098 |   26945.3809 |   -1.260 |   -1.360 |     manual
  13 |  LONG | 2023-05-22 18:00:00 | 2023-05-23 11:00:00 |       4649 |      4853 |  204 |   26851.8496 |   27334.5605 |    1.798 |    1.698 |     manual
