RL Commander Backtest Detailed Report
================================================================================
Model Path      : /Users/hwanghoyeon/Documents/crypto_bot/v2/models/rl_commander/runs/m010/best_model.zip
Initial Balance : 10000.00
Final Balance   : 11639.62
Total Return(%) : +16.40
Test Period     : 2023-05-06 14:35:00 ~ 2026-05-04 13:05:00
Total Trades    : 583
Long Trades     : 583
Short Trades    : 0
Win Rate(%)     : 69.30

Column Guide
--------------------------------------------------------------------------------
entry_time     : 포지션 진입 시각 (전체 데이터 기간 datetime 기준)
exit_time      : 포지션 청산 시각
entry_step     : 전체 데이터 내 진입 인덱스(5분봉 기준 step)
exit_step      : 전체 데이터 내 청산 인덱스
hold           : 보유한 step 수 (1 step = 5분)
entry_px       : 진입 가격
exit_px        : 청산 가격
gross%         : 수수료 제외 수익률(%)
net%           : 수수료 포함 순수익률(%)
exit_type      : 청산 유형 (manual=모델 청산, forced=에피소드 종료 강제청산)

Trade Logs
--------------------------------------------------------------------------------
   # |  side |          entry_time |           exit_time | entry_step | exit_step | hold |     entry_px |      exit_px |   gross% |     net% |  exit_type
---------------------------------------------------------------------------------------------------------------------------------------------------------
   1 |  LONG | 2023-05-06 14:35:00 | 2023-05-07 17:10:00 |          0 |       319 |  319 |   28686.0605 |   28972.3008 |    0.998 |    0.898 |     manual
   2 |  LONG | 2023-05-14 19:05:00 | 2023-05-15 13:00:00 |       2358 |      2573 |  215 |   26931.4395 |   27408.4297 |    1.771 |    1.671 |     manual
   3 |  LONG | 2023-05-16 04:10:00 | 2023-05-17 19:15:00 |       2755 |      3224 |  469 |   27099.0000 |   27386.6699 |    1.062 |    0.962 |     manual
   4 |  LONG | 2023-05-17 20:50:00 | 2023-05-18 08:00:00 |       3243 |      3377 |  134 |   27342.8203 |   27364.5098 |    0.079 |   -0.021 |     manual
   5 |  LONG | 2023-05-18 12:30:00 | 2023-05-18 14:35:00 |       3431 |      3456 |   25 |   27324.6309 |   27337.2207 |    0.046 |   -0.054 |     manual
   6 |  LONG | 2023-05-18 19:00:00 | 2023-05-18 21:40:00 |       3509 |      3541 |   32 |   26630.6895 |   26998.6406 |    1.382 |    1.282 |     manual
   7 |  LONG | 2023-05-18 22:35:00 | 2023-05-19 12:00:00 |       3552 |      3713 |  161 |   26868.4492 |   26889.4297 |    0.078 |   -0.022 |     manual
   8 |  LONG | 2023-05-19 13:15:00 | 2023-05-19 13:40:00 |       3728 |      3733 |    5 |   26912.8203 |   26910.7598 |   -0.008 |   -0.108 |     manual
   9 |  LONG | 2023-05-19 15:35:00 | 2023-05-20 12:15:00 |       3756 |      4004 |  248 |   26801.5000 |   26912.2305 |    0.413 |    0.313 |     manual
  10 |  LONG | 2023-05-20 15:50:00 | 2023-05-23 11:00:00 |       4047 |      4853 |  806 |   26938.0000 |   27334.5605 |    1.472 |    1.372 |     manual
  11 |  LONG | 2023-05-23 13:35:00 | 2023-05-29 10:10:00 |       4884 |      6571 | 1687 |   27265.6406 |   27960.4199 |    2.548 |    2.448 |     manual
  12 |  LONG | 2023-06-06 11:20:00 | 2023-06-06 14:05:00 |       8889 |      8922 |   33 |   25700.0000 |   26002.5195 |    1.177 |    1.077 |     manual
  13 |  LONG | 2023-06-06 18:25:00 | 2023-06-06 19:50:00 |       8974 |      8991 |   17 |   26741.3105 |   27154.9297 |    1.547 |    1.447 |     manual
  14 |  LONG | 2023-06-06 20:10:00 | 2023-06-09 13:15:00 |       8995 |      9776 |  781 |   27153.0000 |   26743.5801 |   -1.508 |   -1.608 |     manual
  15 |  LONG | 2023-06-16 19:00:00 | 2023-06-17 12:20:00 |      11861 |     12069 |  208 |   26378.0195 |   26570.4102 |    0.729 |    0.629 |     manual
  16 |  LONG | 2023-06-17 13:30:00 | 2023-06-20 11:45:00 |      12083 |     12926 |  843 |   26544.9102 |   26841.3496 |    1.117 |    1.017 |     manual
  17 |  LONG | 2023-06-20 14:10:00 | 2023-06-20 15:50:00 |      12955 |     12975 |   20 |   26801.7207 |   27035.0293 |    0.870 |    0.770 |     manual
  18 |  LONG | 2023-06-20 16:50:00 | 2023-06-20 17:45:00 |      12987 |     12998 |   11 |   27302.9902 |   27843.0996 |    1.978 |    1.878 |     manual
  19 |  LONG | 2023-06-21 00:00:00 | 2023-06-21 06:00:00 |      13073 |     13145 |   72 |   28271.4297 |   28924.8398 |    2.311 |    2.211 |     manual
  20 |  LONG | 2023-06-21 06:40:00 | 2023-06-21 09:35:00 |      13153 |     13188 |   35 |   28821.1191 |   28885.2109 |    0.222 |    0.122 |     manual
  21 |  LONG | 2023-06-21 10:45:00 | 2023-06-21 11:50:00 |      13202 |     13215 |   13 |   28861.0195 |   28967.6309 |    0.369 |    0.269 |     manual
  22 |  LONG | 2023-06-21 18:00:00 | 2023-06-22 09:25:00 |      13289 |     13474 |  185 |   30049.5293 |   30166.7891 |    0.390 |    0.290 |     manual
  23 |  LONG | 2023-06-22 20:35:00 | 2023-06-23 14:10:00 |      13608 |     13819 |  211 |   30129.8398 |   30066.7402 |   -0.209 |   -0.309 |     manual
  24 |  LONG | 2023-06-23 15:45:00 | 2023-06-23 16:00:00 |      13838 |     13841 |    3 |   30915.2500 |   31185.2500 |    0.873 |    0.773 |     manual
  25 |  LONG | 2023-06-23 16:20:00 | 2023-06-23 16:55:00 |      13845 |     13852 |    7 |   30899.6504 |   31097.2500 |    0.639 |    0.539 |     manual
  26 |  LONG | 2023-06-30 17:15:00 | 2023-07-01 15:10:00 |      15872 |     16135 |  263 |   30614.0000 |   30568.8398 |   -0.148 |   -0.248 |     manual
  27 |  LONG | 2023-07-01 15:45:00 | 2023-07-03 18:55:00 |      16142 |     16756 |  614 |   30590.0000 |   31201.9902 |    2.001 |    1.901 |     manual
  28 |  LONG | 2023-07-11 05:35:00 | 2023-07-11 13:00:00 |      18900 |     18989 |   89 |   30464.0098 |   30438.5098 |   -0.084 |   -0.184 |     manual
  29 |  LONG | 2023-07-11 17:45:00 | 2023-07-12 11:25:00 |      19046 |     19258 |  212 |   30598.5293 |   30725.0898 |    0.414 |    0.314 |     manual
  30 |  LONG | 2023-07-12 12:55:00 | 2023-07-12 13:05:00 |      19276 |     19278 |    2 |   30717.9902 |   30786.5195 |    0.223 |    0.123 |     manual
  31 |  LONG | 2023-07-12 15:45:00 | 2023-07-13 08:40:00 |      19310 |     19513 |  203 |   30544.5293 |   30409.6504 |   -0.442 |   -0.542 |     manual
  32 |  LONG | 2023-07-20 20:15:00 | 2023-07-21 11:35:00 |      21668 |     21852 |  184 |   29720.0000 |   29747.0293 |    0.091 |   -0.009 |     manual
  33 |  LONG | 2023-07-21 18:40:00 | 2023-07-23 17:55:00 |      21937 |     22504 |  567 |   30011.5000 |   30112.0098 |    0.335 |    0.235 |     manual
  34 |  LONG | 2023-07-30 19:00:00 | 2023-08-02 11:00:00 |      24533 |     25301 |  768 |   29357.9805 |   29552.7305 |    0.663 |    0.563 |     manual
  35 |  LONG | 2023-08-02 18:05:00 | 2023-08-03 11:15:00 |      25386 |     25592 |  206 |   29151.9902 |   29174.5293 |    0.077 |   -0.023 |     manual
  36 |  LONG | 2023-08-03 20:00:00 | 2023-08-04 12:05:00 |      25697 |     25890 |  193 |   29321.4297 |   29176.5703 |   -0.494 |   -0.594 |     manual
  37 |  LONG | 2023-08-04 17:00:00 | 2023-08-04 17:25:00 |      25949 |     25954 |    5 |   29266.0000 |   29246.0098 |   -0.068 |   -0.168 |     manual
  38 |  LONG | 2023-08-04 18:10:00 | 2023-08-08 12:00:00 |      25963 |     27041 | 1078 |   29176.5098 |   29371.9902 |    0.670 |    0.570 |     manual
