RL Commander Backtest Detailed Report
================================================================================
Model Path      : /Users/hwanghoyeon/Documents/crypto_bot/v2/models/rl_commander/runs/m005/best_model.zip
Initial Balance : 10000.00
Final Balance   : 4215.17
Total Return(%) : -57.85
Test Period     : 2023-05-06 14:35:00 ~ 2026-05-04 13:05:00
Total Trades    : 1283
Long Trades     : 1283
Short Trades    : 0
Win Rate(%)     : 70.54

Column Guide
--------------------------------------------------------------------------------
entry_time     : 포지션 진입 시각 (전체 데이터 기간 datetime 기준)
exit_time      : 포지션 청산 시각
entry_step     : 전체 데이터 내 진입 인덱스(5분봉 기준 step)
exit_step      : 전체 데이터 내 청산 인덱스
hold           : 보유한 step 수 (1 step = 5분)
entry_px       : 진입 가격
exit_px        : 청산 가격
gross%         : 수수료 제외 수익률(%)
net%           : 수수료 포함 순수익률(%)
exit_type      : 청산 유형 (manual=모델 청산, forced=에피소드 종료 강제청산)

Trade Logs
--------------------------------------------------------------------------------
   # |  side |          entry_time |           exit_time | entry_step | exit_step | hold |     entry_px |      exit_px |   gross% |     net% |  exit_type
---------------------------------------------------------------------------------------------------------------------------------------------------------
   1 |  LONG | 2023-05-06 14:35:00 | 2023-05-06 18:40:00 |          0 |        49 |   49 |   28686.0605 |   28924.7891 |    0.832 |    0.732 |     manual
   2 |  LONG | 2023-05-15 14:10:00 | 2023-05-15 14:50:00 |       2587 |      2595 |    8 |   27288.8203 |   27482.4395 |    0.710 |    0.610 |     manual
   3 |  LONG | 2023-05-15 15:50:00 | 2023-05-15 17:05:00 |       2607 |      2622 |   15 |   27377.7109 |   27583.6406 |    0.752 |    0.652 |     manual
   4 |  LONG | 2023-05-16 14:00:00 | 2023-05-17 00:35:00 |       2873 |      3000 |  127 |   27004.1191 |   27101.5508 |    0.361 |    0.261 |     manual
   5 |  LONG | 2023-05-25 14:00:00 | 2023-05-25 17:30:00 |       5465 |      5507 |   42 |   26377.5391 |   26377.3496 |   -0.001 |   -0.101 |     manual
   6 |  LONG | 2023-05-26 14:00:00 | 2023-05-26 14:05:00 |       5753 |      5754 |    1 |   26569.3105 |   26639.5098 |    0.264 |    0.164 |     manual
   7 |  LONG | 2023-05-26 14:10:00 | 2023-05-26 14:15:00 |       5755 |      5756 |    1 |   26603.0605 |   26662.0703 |    0.222 |    0.122 |     manual
   8 |  LONG | 2023-05-26 14:20:00 | 2023-05-26 14:25:00 |       5757 |      5758 |    1 |   26713.2500 |   26782.6309 |    0.260 |    0.160 |     manual
   9 |  LONG | 2023-05-26 14:30:00 | 2023-05-28 01:00:00 |       5759 |      6173 |  414 |   26909.4395 |   27139.3203 |    0.854 |    0.754 |     manual
  10 |  LONG | 2023-05-28 15:00:00 | 2023-05-28 18:20:00 |       6341 |      6381 |   40 |   27187.9609 |   27673.7500 |    1.787 |    1.687 |     manual
  11 |  LONG | 2023-05-29 14:50:00 | 2023-05-30 09:40:00 |       6627 |      6853 |  226 |   27806.2793 |   27874.8809 |    0.247 |    0.147 |     manual
  12 |  LONG | 2023-06-06 14:40:00 | 2023-06-06 15:55:00 |       8929 |      8944 |   15 |   26003.3008 |   26064.8496 |    0.237 |    0.137 |     manual
  13 |  LONG | 2023-06-06 16:00:00 | 2023-06-06 16:20:00 |       8945 |      8949 |    4 |   26168.9297 |   26222.6309 |    0.205 |    0.105 |     manual
  14 |  LONG | 2023-06-07 16:05:00 | 2023-06-08 01:10:00 |       9234 |      9343 |  109 |   26376.0000 |   26457.0000 |    0.307 |    0.207 |     manual
  15 |  LONG | 2023-06-08 12:00:00 | 2023-06-08 12:35:00 |       9473 |      9480 |    7 |   26437.5098 |   26510.0508 |    0.274 |    0.174 |     manual
  16 |  LONG | 2023-06-08 13:05:00 | 2023-06-08 13:45:00 |       9486 |      9494 |    8 |   26379.4609 |   26411.5898 |    0.122 |    0.022 |     manual
  17 |  LONG | 2023-06-08 14:00:00 | 2023-06-08 14:10:00 |       9497 |      9499 |    2 |   26356.3906 |   26422.5605 |    0.251 |    0.151 |     manual
  18 |  LONG | 2023-06-08 14:15:00 | 2023-06-08 14:20:00 |       9500 |      9501 |    1 |   26415.5801 |   26481.0000 |    0.248 |    0.148 |     manual
  19 |  LONG | 2023-06-08 14:25:00 | 2023-06-08 14:30:00 |       9502 |      9503 |    1 |   26485.3906 |   26599.9902 |    0.433 |    0.333 |     manual
  20 |  LONG | 2023-06-08 14:35:00 | 2023-06-08 14:40:00 |       9504 |      9505 |    1 |   26618.3105 |   26583.5801 |   -0.130 |   -0.230 |     manual
  21 |  LONG | 2023-06-08 14:45:00 | 2023-06-08 14:50:00 |       9506 |      9507 |    1 |   26610.1504 |   26613.3496 |    0.012 |   -0.088 |     manual
  22 |  LONG | 2023-06-08 14:55:00 | 2023-06-08 15:40:00 |       9508 |      9517 |    9 |   26645.6602 |   26722.5703 |    0.289 |    0.189 |     manual
  23 |  LONG | 2023-06-08 15:45:00 | 2023-06-08 15:50:00 |       9518 |      9519 |    1 |   26709.3301 |   26755.5898 |    0.173 |    0.073 |     manual
